timestamp,ip,path,method,status_code,user_agent,response_size,analysis_timestamp,suspicious
2025-12-21 14:03:01.748914,192.168.218.212,/api/users,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,1175,2025-12-28T14:01:06.696340,False
2025-12-21 14:04:01.748914,192.168.226.103,/about,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,39523,2025-12-28T14:01:06.699000,False
2025-12-21 14:06:01.748914,192.168.47.219,/api/users,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,3852,2025-12-28T14:01:06.702585,False
2025-12-21 14:08:01.748914,192.168.102.18,/home,POST,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,7688,2025-12-28T14:01:06.705314,False
2025-12-21 14:09:01.748914,192.168.101.161,/api/orders,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,41883,2025-12-28T14:01:06.706679,False
2025-12-21 14:11:01.748914,192.168.157.94,/api/orders,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,6764,2025-12-28T14:01:06.709325,False
2025-12-21 14:13:01.748914,192.168.149.117,/contact,POST,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,8506,2025-12-28T14:01:06.711892,False
2025-12-21 14:14:01.748914,192.168.249.70,/api/products,POST,304,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,13121,2025-12-28T14:01:06.714076,False
2025-12-21 14:16:01.748914,192.168.247.3,/home,POST,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,18530,2025-12-28T14:01:06.718895,False
2025-12-21 14:18:01.748914,192.168.7.99,/dashboard,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,30887,2025-12-28T14:01:06.723279,False
2025-12-21 14:19:01.748914,192.168.103.7,/search?q=products,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,34630,2025-12-28T14:01:06.725467,False
2025-12-21 14:20:01.748914,192.168.109.202,/api/users,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,42496,2025-12-28T14:01:06.727685,False
2025-12-21 14:21:01.748914,192.168.18.253,/api/products,GET,304,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,7748,2025-12-28T14:01:06.730153,False
2025-12-21 14:22:01.748914,192.168.238.182,/home,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,34732,2025-12-28T14:01:06.732948,False
2025-12-21 14:23:01.748914,192.168.125.8,/dashboard,GET,304,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,49692,2025-12-28T14:01:06.734573,False
2025-12-21 14:25:01.748914,192.168.180.245,/api/orders,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,23086,2025-12-28T14:01:06.737745,False
2025-12-21 14:26:01.748914,192.168.34.221,/contact,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,35486,2025-12-28T14:01:06.739637,False
2025-12-21 14:28:01.748914,192.168.49.93,/api/products,POST,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,21819,2025-12-28T14:01:06.742435,False
2025-12-21 14:30:01.748914,192.168.112.132,/api/orders,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,4645,2025-12-28T14:01:06.744990,False
2025-12-21 14:31:01.748914,192.168.21.7,/api/products,GET,304,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,10318,2025-12-28T14:01:06.746242,False
2025-12-21 14:33:01.748914,192.168.126.85,/home,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,13812,2025-12-28T14:01:06.750630,False
2025-12-21 14:36:01.748914,192.168.162.245,/api/users,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,31916,2025-12-28T14:01:06.755228,False
2025-12-21 14:37:01.748914,192.168.61.7,/dashboard,POST,304,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,12719,2025-12-28T14:01:06.756604,False
2025-12-21 14:38:01.748914,192.168.161.254,/dashboard,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,1773,2025-12-28T14:01:06.757860,False
2025-12-21 14:40:01.748914,192.168.154.56,/home,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,35661,2025-12-28T14:01:06.760409,False
2025-12-21 14:41:01.748914,192.168.200.31,/api/users,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,7374,2025-12-28T14:01:06.761768,False
2025-12-21 14:42:01.748914,192.168.156.132,/api/products,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,28886,2025-12-28T14:01:06.763178,False
2025-12-21 14:43:01.748914,192.168.242.84,/api/products,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,25003,2025-12-28T14:01:06.765336,False
2025-12-21 14:44:01.748914,192.168.175.114,/about,GET,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,37820,2025-12-28T14:01:06.767461,False
2025-12-21 14:45:01.748914,192.168.54.155,/api/orders,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,19068,2025-12-28T14:01:06.768914,False
2025-12-21 14:46:01.748914,192.168.157.66,/home,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,19358,2025-12-28T14:01:06.770292,False
2025-12-21 14:49:01.748914,192.168.150.33,/dashboard,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,39683,2025-12-28T14:01:06.774142,False
2025-12-21 14:50:01.748914,192.168.97.87,/api/products,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,46359,2025-12-28T14:01:06.775373,False
2025-12-21 14:53:01.748914,192.168.220.59,/about,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,14881,2025-12-28T14:01:06.778973,False
2025-12-21 14:54:01.748914,192.168.195.241,/home,GET,304,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,39036,2025-12-28T14:01:06.781111,False
2025-12-21 14:56:01.748914,192.168.79.183,/contact,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,16243,2025-12-28T14:01:06.784707,False
2025-12-21 14:57:01.748914,192.168.47.183,/about,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,47805,2025-12-28T14:01:06.786069,False
2025-12-21 14:58:01.748914,192.168.198.34,/about,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,40238,2025-12-28T14:01:06.787494,False
2025-12-21 14:59:01.748914,192.168.46.37,/profile,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,17355,2025-12-28T14:01:06.788739,False
2025-12-21 15:00:01.748914,192.168.232.60,/settings,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,25996,2025-12-28T14:01:06.790159,False
2025-12-21 15:01:01.748914,192.168.78.207,/search?q=products,POST,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,26654,2025-12-28T14:01:06.791373,False
2025-12-21 15:03:01.748914,192.168.172.73,/api/orders,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,12504,2025-12-28T14:01:06.793788,False
2025-12-21 15:05:01.748914,192.168.161.139,/home,POST,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,40797,2025-12-28T14:01:06.796560,False
2025-12-21 15:06:01.748914,192.168.28.23,/home,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,44067,2025-12-28T14:01:06.798247,False
2025-12-21 15:08:01.748914,192.168.98.168,/profile,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,22579,2025-12-28T14:01:06.801439,False
2025-12-21 15:09:01.748914,192.168.98.11,/search?q=products,GET,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,48292,2025-12-28T14:01:06.803085,False
2025-12-21 15:11:01.748914,192.168.182.124,/contact,GET,201,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,14661,2025-12-28T14:01:06.805554,False
2025-12-21 15:12:01.748914,192.168.179.190,/contact,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,2388,2025-12-28T14:01:06.806818,False
2025-12-21 15:14:01.748914,192.168.228.227,/api/users,GET,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,19826,2025-12-28T14:01:06.809174,False
2025-12-21 15:15:01.748914,192.168.248.75,/api/users,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,49880,2025-12-28T14:01:06.810226,False
2025-12-21 15:16:01.748914,192.168.165.66,/search?q=products,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,46508,2025-12-28T14:01:06.811986,False
2025-12-21 15:17:01.748914,192.168.250.246,/api/products,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,15084,2025-12-28T14:01:06.813528,False
2025-12-21 15:18:01.748914,192.168.92.219,/about,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,29333,2025-12-28T14:01:06.815146,False
2025-12-21 15:21:01.748914,192.168.248.223,/about,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,21929,2025-12-28T14:01:06.820039,False
2025-12-21 15:23:01.748914,192.168.54.88,/dashboard,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,23302,2025-12-28T14:01:06.823500,False
2025-12-21 15:24:01.748914,192.168.84.179,/api/orders,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,11930,2025-12-28T14:01:06.824845,False
2025-12-21 15:25:01.748914,192.168.195.138,/profile,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,6360,2025-12-28T14:01:06.826175,False
2025-12-21 15:26:01.748914,192.168.228.139,/about,POST,304,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,34073,2025-12-28T14:01:06.827662,False
2025-12-21 15:27:01.748914,192.168.250.119,/about,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,41668,2025-12-28T14:01:06.829237,False
2025-12-21 15:30:01.748914,192.168.93.231,/settings,GET,304,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,24063,2025-12-28T14:01:06.834870,False
2025-12-21 15:31:01.748914,192.168.226.254,/about,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,31661,2025-12-28T14:01:06.836426,False
2025-12-21 15:34:01.748914,192.168.18.40,/settings,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,6429,2025-12-28T14:01:06.840483,False
2025-12-21 15:35:01.748914,192.168.199.130,/api/orders,GET,201,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,9880,2025-12-28T14:01:06.842202,False
2025-12-21 15:36:01.748914,192.168.14.67,/search?q=products,POST,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,16853,2025-12-28T14:01:06.843540,False
2025-12-21 15:37:01.748914,192.168.190.48,/dashboard,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,5570,2025-12-28T14:01:06.844827,False
2025-12-21 15:38:01.748914,192.168.208.21,/dashboard,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,40127,2025-12-28T14:01:06.846102,False
2025-12-21 15:39:01.748914,192.168.66.69,/contact,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,18076,2025-12-28T14:01:06.848380,False
2025-12-21 15:40:01.748914,192.168.223.4,/about,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,1693,2025-12-28T14:01:06.851842,False
2025-12-21 15:43:01.748914,192.168.19.140,/profile,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,41866,2025-12-28T14:01:06.856789,False
2025-12-21 15:46:01.748914,192.168.75.144,/about,POST,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,23254,2025-12-28T14:01:06.860595,False
2025-12-21 15:47:01.748914,192.168.159.211,/api/products,POST,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,1813,2025-12-28T14:01:06.861811,False
2025-12-21 15:48:01.748914,192.168.49.141,/profile,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,9225,2025-12-28T14:01:06.863133,False
2025-12-21 15:49:01.748914,192.168.178.211,/api/orders,POST,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,45037,2025-12-28T14:01:06.865906,False
2025-12-21 15:51:01.748914,192.168.54.242,/api/products,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,35801,2025-12-28T14:01:06.869331,False
2025-12-21 15:52:01.748914,192.168.149.228,/home,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,31685,2025-12-28T14:01:06.870857,False
2025-12-21 15:54:01.748914,192.168.181.1,/api/products,POST,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,19032,2025-12-28T14:01:06.873972,False
2025-12-21 15:55:01.748914,192.168.241.156,/api/orders,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,10353,2025-12-28T14:01:06.875582,False
2025-12-21 16:00:01.748914,192.168.152.206,/api/products,GET,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,41712,2025-12-28T14:01:06.884372,False
2025-12-21 16:01:01.748914,192.168.44.167,/home,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,25858,2025-12-28T14:01:06.886731,False
2025-12-21 16:03:01.748914,192.168.1.181,/contact,POST,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,2315,2025-12-28T14:01:06.889530,False
2025-12-21 16:04:01.748914,192.168.68.41,/home,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,31378,2025-12-28T14:01:06.890869,False
2025-12-21 16:05:01.748914,192.168.23.25,/profile,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,30556,2025-12-28T14:01:06.892196,False
2025-12-21 16:06:01.748914,192.168.105.78,/settings,GET,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,23031,2025-12-28T14:01:06.893492,False
2025-12-21 16:07:01.748914,192.168.75.93,/api/users,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,36223,2025-12-28T14:01:06.895116,False
2025-12-21 16:08:01.748914,192.168.95.246,/about,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,37852,2025-12-28T14:01:06.896588,False
2025-12-21 16:09:01.748914,192.168.116.162,/api/users,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,25131,2025-12-28T14:01:06.899378,False
2025-12-21 16:11:01.748914,192.168.222.81,/about,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,40573,2025-12-28T14:01:06.902532,False
2025-12-21 16:13:01.748914,192.168.224.30,/api/users,GET,201,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,9997,2025-12-28T14:01:06.905314,False
