timestamp,ip,path,method,status_code,user_agent,response_size,analysis_timestamp,suspicious,reasons,risk_level
2025-12-21 14:01:01.748914,192.168.217.85,/contact,PUT,200,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,28289,2025-12-28T14:01:06.692762,True,['Unusual HTTP method: PUT'],low
2025-12-21 14:02:01.748914,192.168.168.30,/admin/config,GET,400,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,39343,2025-12-28T14:01:06.694430,True,"[""Admin Access: '/admin' detected in path"", 'Error status code: 400']",medium
2025-12-21 14:05:01.748914,192.168.228.21,/.env,GET,403,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,20496,2025-12-28T14:01:06.701112,True,"[""Admin Access: '/.env' detected in path"", 'Error status code: 403']",medium
2025-12-21 14:07:01.748914,192.168.95.180,/admin/users,GET,404,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,30208,2025-12-28T14:01:06.703970,True,"[""Admin Access: '/admin' detected in path"", 'Error status code: 404']",medium
2025-12-21 14:10:01.748914,192.168.99.92,/upload/shell.php,POST,400,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,39660,2025-12-28T14:01:06.708024,True,['Error status code: 400'],low
2025-12-21 14:12:01.748914,192.168.182.134,/contact,GET,400,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,40976,2025-12-28T14:01:06.710599,True,['Error status code: 400'],low
2025-12-21 14:15:01.748914,192.168.214.153,/backup/database.sql,POST,400,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,29841,2025-12-28T14:01:06.716532,True,"[""Admin Access: '/backup' detected in path"", 'Error status code: 400']",medium
2025-12-21 14:17:01.748914,192.168.26.24,/config.php,GET,400,nikto/2.1.6,22064,2025-12-28T14:01:06.721065,True,"[""Admin Access: '/config' detected in path"", 'Error status code: 400', 'Suspicious user agent: nikto']",medium
2025-12-21 14:24:01.748914,192.168.198.29,/about,POST,400,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,5708,2025-12-28T14:01:06.735895,True,['Error status code: 400'],low
2025-12-21 14:27:01.748914,192.168.253.86,/contact,PUT,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,29145,2025-12-28T14:01:06.741099,True,['Unusual HTTP method: PUT'],low
2025-12-21 14:29:01.748914,192.168.195.11,/search?q=<img src=x onerror=alert(1)>,POST,400,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,49524,2025-12-28T14:01:06.743709,True,"[""Xss: 'onerror=' detected in path"", 'Error status code: 400']",medium
2025-12-21 14:32:01.748914,192.168.66.32,/api/users?id=1' OR '1'='1,GET,400,nmap scripting engine,19478,2025-12-28T14:01:06.747980,True,"[""Sql Injection: ''' detected in path"", 'Error status code: 400', 'Suspicious user agent: nmap']",high
2025-12-21 14:34:01.748914,192.168.142.3,/search?q=<script>alert('XSS')</script>,POST,404,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,48894,2025-12-28T14:01:06.752226,True,"[""Sql Injection: ''' detected in path"", ""Xss: '<script' detected in path"", 'Error status code: 404']",high
2025-12-21 14:35:01.748914,192.168.144.18,/contact,PUT,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,923,2025-12-28T14:01:06.753776,True,['Unusual HTTP method: PUT'],low
2025-12-21 14:39:01.748914,192.168.50.5,/api/users?id=1' OR '1'='1,PUT,400,sqlmap/1.0,36527,2025-12-28T14:01:06.759104,True,"[""Sql Injection: ''' detected in path"", 'Unusual HTTP method: PUT', 'Error status code: 400', 'Suspicious user agent: sqlmap']",high
2025-12-21 14:47:01.748914,192.168.76.135,/files/../../etc/passwd,POST,403,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,18015,2025-12-28T14:01:06.771598,True,"[""Path Traversal: '../' detected in path"", 'Error status code: 403']",medium
2025-12-21 14:48:01.748914,192.168.210.191,/config.php,POST,403,python-requests/2.25,13029,2025-12-28T14:01:06.772870,True,"[""Admin Access: '/config' detected in path"", 'Error status code: 403']",medium
2025-12-21 14:51:01.748914,192.168.206.248,/files/../../etc/passwd,POST,400,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,12806,2025-12-28T14:01:06.776622,True,"[""Path Traversal: '../' detected in path"", 'Error status code: 400']",medium
2025-12-21 14:52:01.748914,192.168.209.125,/files/../../../etc/shadow,POST,403,nikto/2.1.6,44263,2025-12-28T14:01:06.777817,True,"[""Path Traversal: '../' detected in path"", 'Error status code: 403', 'Suspicious user agent: nikto']",medium
2025-12-21 14:55:01.748914,192.168.206.52,/admin/config,GET,403,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,13064,2025-12-28T14:01:06.783314,True,"[""Admin Access: '/admin' detected in path"", 'Error status code: 403']",medium
2025-12-21 15:02:01.748914,192.168.184.35,/admin/config,POST,403,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,36366,2025-12-28T14:01:06.792552,True,"[""Admin Access: '/admin' detected in path"", 'Error status code: 403']",medium
2025-12-21 15:04:01.748914,192.168.204.45,/api/users,PUT,400,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0) Mobile/15E148,45773,2025-12-28T14:01:06.795015,True,"['Unusual HTTP method: PUT', 'Error status code: 400']",medium
2025-12-21 15:07:01.748914,192.168.55.118,/api/users'; DROP TABLE users;--,GET,404,Mozilla/5.0 (X11; Linux x86_64) Firefox/95.0,44072,2025-12-28T14:01:06.799803,True,"[""Sql Injection: ''' detected in path"", ""Command Injection: ';' detected in path"", 'Error status code: 404']",high
2025-12-21 15:10:01.748914,192.168.77.166,/contact,PUT,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,28206,2025-12-28T14:01:06.804365,True,['Unusual HTTP method: PUT'],low
2025-12-21 15:13:01.748914,192.168.70.223,/api/orders,POST,400,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/96.0,3038,2025-12-28T14:01:06.807954,True,['Error status code: 400'],low
