IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,PKTS_OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,,,IN_PKTS,OUT_BYTES
45.142.212.61,54231,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54232,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54233,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54234,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54235,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54236,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54237,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54238,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54239,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54240,192.168.1.200,4444,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54241,192.168.1.200,5555,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54242,192.168.1.200,5555,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54243,192.168.1.200,5555,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54244,192.168.1.200,5555,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54245,192.168.1.200,5555,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54246,192.168.1.200,6666,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54247,192.168.1.200,6666,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54248,192.168.1.200,6666,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54249,192.168.1.200,7777,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54250,192.168.1.200,7777,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54251,192.168.1.200,8888,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54252,192.168.1.200,8888,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54253,192.168.1.200,9999,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54254,192.168.1.200,9999,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54255,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54256,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54257,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54258,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54259,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54260,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54261,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54262,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54263,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
45.142.212.61,54264,192.168.1.200,31337,6,0,0,0,1,2,2,0,0,,,,
185.220.101.45,42100,192.168.1.200,21,6,0,0,0,1,2,2,0,5,,,,
185.220.101.45,42101,192.168.1.200,22,6,0,0,0,1,2,2,0,3,,,,
185.220.101.45,42102,192.168.1.200,23,6,0,0,0,1,2,2,0,4,,,,
185.220.101.45,42103,192.168.1.200,25,6,0,0,0,1,2,2,0,6,,,,
185.220.101.45,42104,192.168.1.200,80,6,0,0,0,1,2,2,0,8,,,,
185.220.101.45,42105,192.168.1.200,135,6,0,0,0,1,2,2,0,2,,,,
185.220.101.45,42106,192.168.1.200,139,6,0,0,0,1,2,2,0,3,,,,
185.220.101.45,42107,192.168.1.200,445,6,0,0,0,1,2,2,0,7,,,,
185.220.101.45,42108,192.168.1.200,1433,6,0,0,0,1,2,2,0,4,,,,
185.220.101.45,42109,192.168.1.200,3306,6,0,0,0,1,2,2,0,5,,,,
185.220.101.45,42110,192.168.1.200,3389,6,0,0,0,1,2,2,0,6,,,,
185.220.101.45,42111,192.168.1.200,5432,6,0,0,0,1,2,2,0,3,,,,
185.220.101.45,42112,192.168.1.200,5900,6,0,0,0,1,2,2,0,4,,,,
185.220.101.45,42113,192.168.1.200,8080,6,0,0,0,1,2,2,0,5,,,,
185.220.101.45,42114,192.168.1.200,1521,6,0,0,0,1,2,2,0,3,,,,
185.220.101.45,42115,192.168.1.200,5984,6,0,0,0,1,2,2,0,4,,,,
185.220.101.45,42116,192.168.1.200,8443,6,0,0,0,1,2,2,0,2,,,,
185.220.101.45,42117,192.168.1.200,9200,6,0,0,0,1,2,2,0,5,,,,
198.98.62.134,48100,192.168.1.201,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48101,192.168.1.202,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48102,192.168.1.203,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48103,192.168.1.204,445,6,0,0,0,1,2,2,0,4,,,,
198.98.62.134,48104,192.168.1.205,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48105,192.168.1.206,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48106,192.168.1.207,445,6,0,0,0,1,2,2,0,5,,,,
198.98.62.134,48107,192.168.1.208,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48108,192.168.1.209,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48109,192.168.1.210,445,6,0,0,0,1,2,2,0,4,,,,
198.98.62.134,48110,192.168.1.211,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48111,192.168.1.212,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48112,192.168.1.213,445,6,0,0,0,1,2,2,0,5,,,,
198.98.62.134,48113,192.168.1.214,445,6,0,0,0,1,2,2,0,4,,,,
198.98.62.134,48114,192.168.1.215,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48115,192.168.1.216,445,6,0,0,0,1,2,2,0,2,,,,
198.98.62.134,48116,192.168.1.217,445,6,0,0,0,1,2,2,0,6,,,,
198.98.62.134,48117,192.168.1.218,445,6,0,0,0,1,2,2,0,4,,,,
198.98.62.134,48118,192.168.1.219,445,6,0,0,0,1,2,2,0,3,,,,
198.98.62.134,48119,192.168.1.220,445,6,0,0,0,1,2,2,0,2,,,,
103.224.182.245,51234,192.168.1.50,80,6,7,520,65000,45,27,2,2,25,,,,
103.224.182.245,51235,192.168.1.50,80,6,7,530,68000,48,27,2,2,28,,,,
103.224.182.245,51236,192.168.1.50,80,6,7,515,64500,44,27,2,2,24,,,,
103.224.182.245,51237,192.168.1.50,80,6,7,525,67000,47,27,2,2,27,,,,
103.224.182.245,51238,192.168.1.50,80,6,7,510,63000,43,27,2,2,23,,,,
103.224.182.245,51239,192.168.1.50,80,6,7,535,69000,49,27,2,2,29,,,,
103.224.182.245,51240,192.168.1.50,80,6,7,518,66000,46,27,2,2,26,,,,
103.224.182.245,51241,192.168.1.50,80,6,7,522,65500,45,27,2,2,25,,,,
103.224.182.245,51242,192.168.1.50,80,6,7,528,67500,48,27,2,2,28,,,,
103.224.182.245,51243,192.168.1.50,80,6,7,512,64000,44,27,2,2,24,,,,
103.224.182.245,51244,192.168.1.50,80,6,7,540,70000,50,27,2,2,30,,,,
