IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,PKTS_OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS
45.142.212.61,54231,192.168.1.200,4444,6,0,0,0,1,2,2,0,0
45.142.212.61,54232,192.168.1.200,5555,6,0,0,0,1,2,2,0,0
45.142.212.61,54233,192.168.1.200,6666,6,0,0,0,1,2,2,0,0
185.220.101.45,42100,192.168.1.200,21,6,0,0,0,1,2,2,0,5
185.220.101.45,42101,192.168.1.200,22,6,0,0,0,1,2,2,0,3
185.220.101.45,42102,192.168.1.200,23,6,0,0,0,1,2,2,0,4
185.220.101.45,42103,192.168.1.200,25,6,0,0,0,1,2,2,0,6
185.220.101.45,42104,192.168.1.200,80,6,0,0,0,1,2,2,0,8
185.220.101.45,42105,192.168.1.200,135,6,0,0,0,1,2,2,0,2
185.220.101.45,42106,192.168.1.200,139,6,0,0,0,1,2,2,0,3
185.220.101.45,42107,192.168.1.200,445,6,0,0,0,1,2,2,0,7
185.220.101.45,42108,192.168.1.200,1433,6,0,0,0,1,2,2,0,4
185.220.101.45,42109,192.168.1.200,3306,6,0,0,0,1,2,2,0,5
185.220.101.45,42110,192.168.1.200,3389,6,0,0,0,1,2,2,0,6
185.220.101.45,42111,192.168.1.200,5432,6,0,0,0,1,2,2,0,3
185.220.101.45,42112,192.168.1.200,5900,6,0,0,0,1,2,2,0,4
185.220.101.45,42113,192.168.1.200,8080,6,0,0,0,1,2,2,0,5
103.224.182.245,51234,192.168.1.50,80,6,7,520,65000,45,27,2,2,25
103.224.182.245,51235,192.168.1.50,80,6,7,530,68000,48,27,2,2,28
103.224.182.245,51236,192.168.1.50,80,6,7,515,64500,44,27,2,2,24
103.224.182.245,51237,192.168.1.50,80,6,7,525,67000,47,27,2,2,27
103.224.182.245,51238,192.168.1.50,80,6,7,510,63000,43,27,2,2,23
103.224.182.245,51239,192.168.1.50,80,6,7,535,69000,49,27,2,2,29
103.224.182.245,51240,192.168.1.50,80,6,7,518,66000,46,27,2,2,26
103.224.182.245,51241,192.168.1.50,80,6,7,522,65500,45,27,2,2,25
103.224.182.245,51242,192.168.1.50,80,6,7,528,67500,48,27,2,2,28
103.224.182.245,51243,192.168.1.50,80,6,7,512,64000,44,27,2,2,24
198.98.62.134,48100,192.168.1.201,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48101,192.168.1.202,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48102,192.168.1.203,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48103,192.168.1.204,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48104,192.168.1.205,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48105,192.168.1.206,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48106,192.168.1.207,445,6,0,0,0,1,2,2,0,5
198.98.62.134,48107,192.168.1.208,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48108,192.168.1.209,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48109,192.168.1.210,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48110,192.168.1.211,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48111,192.168.1.212,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48112,192.168.1.213,445,6,0,0,0,1,2,2,0,5
198.98.62.134,48113,192.168.1.214,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48114,192.168.1.215,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48115,192.168.1.216,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48116,192.168.1.217,445,6,0,0,0,1,2,2,0,6
198.98.62.134,48117,192.168.1.218,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48118,192.168.1.219,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48119,192.168.1.220,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48120,192.168.1.221,445,6,0,0,0,1,2,2,0,5
198.98.62.134,48121,192.168.1.222,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48122,192.168.1.223,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48123,192.168.1.224,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48124,192.168.1.225,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48125,192.168.1.226,445,6,0,0,0,1,2,2,0,2
198.98.62.134,48126,192.168.1.227,445,6,0,0,0,1,2,2,0,5
198.98.62.134,48127,192.168.1.228,445,6,0,0,0,1,2,2,0,4
198.98.62.134,48128,192.168.1.229,445,6,0,0,0,1,2,2,0,3
198.98.62.134,48129,192.168.1.230,445,6,0,0,0,1,2,2,0,2
91.192.103.45,35100,192.168.1.50,80,6,7,450,58000,40,27,2,2,20
91.192.103.45,35101,192.168.1.50,80,6,7,455,59000,41,27,2,2,21
91.192.103.45,35102,192.168.1.50,80,6,7,460,60000,42,27,2,2,22
91.192.103.45,35103,192.168.1.50,80,6,7,445,57000,39,27,2,2,19
91.192.103.45,35104,192.168.1.50,80,6,7,465,61000,43,27,2,2,23
167.71.45.234,39200,192.168.1.50,80,6,7,470,62000,44,27,2,2,24
167.71.45.234,39201,192.168.1.50,80,6,7,440,56000,38,27,2,2,18
167.71.45.234,39202,192.168.1.50,80,6,7,475,63000,45,27,2,2,25
167.71.45.234,39203,192.168.1.50,80,6,7,480,64000,46,27,2,2,26
167.71.45.234,39204,192.168.1.50,80,6,7,435,55000,37,27,2,2,17
159.89.234.123,41300,192.168.1.50,80,6,7,485,65000,47,27,2,2,27
159.89.234.123,41301,192.168.1.50,80,6,7,490,66000,48,27,2,2,28
159.89.234.123,41302,192.168.1.50,80,6,7,495,67000,49,27,2,2,29
159.89.234.123,41303,192.168.1.50,80,6,7,430,54000,36,27,2,2,16
159.89.234.123,41304,192.168.1.50,80,6,7,500,68000,50,27,2,2,30
142.93.178.56,43400,192.168.1.50,80,6,7,425,53000,35,27,2,2,15
142.93.178.56,43401,192.168.1.50,80,6,7,505,69000,51,27,2,2,31
142.93.178.56,43402,192.168.1.50,80,6,7,510,70000,52,27,2,2,32
142.93.178.56,43403,192.168.1.50,80,6,7,420,52000,34,27,2,2,14
142.93.178.56,43404,192.168.1.50,80,6,7,515,71000,53,27,2,2,33
178.128.92.134,45500,192.168.1.50,80,6,7,520,72000,54,27,2,2,34
178.128.92.134,45501,192.168.1.50,80,6,7,415,51000,33,27,2,2,13
178.128.92.134,45502,192.168.1.50,80,6,7,525,73000,55,27,2,2,35
178.128.92.134,45503,192.168.1.50,80,6,7,530,74000,56,27,2,2,36
178.128.92.134,45504,192.168.1.50,80,6,7,410,50000,32,27,2,2,12
206.189.67.89,47600,192.168.1.50,80,6,7,535,75000,57,27,2,2,37
206.189.67.89,47601,192.168.1.50,80,6,7,540,76000,58,27,2,2,38
206.189.67.89,47602,192.168.1.50,80,6,7,405,49000,31,27,2,2,11
206.189.67.89,47603,192.168.1.50,80,6,7,545,77000,59,27,2,2,39
206.189.67.89,47604,192.168.1.50,80,6,7,550,78000,60,27,2,2,40
188.166.123.45,49700,192.168.1.50,80,6,7,555,79000,61,27,2,2,41
188.166.123.45,49701,192.168.1.50,80,6,7,400,48000,30,27,2,2,10
188.166.123.45,49702,192.168.1.50,80,6,7,560,80000,62,27,2,2,42
188.166.123.45,49703,192.168.1.50,80,6,7,565,81000,63,27,2,2,43
188.166.123.45,49704,192.168.1.50,80,6,7,395,47000,29,27,2,2,9
157.230.45.178,51800,192.168.1.50,80,6,7,570,82000,64,27,2,2,44
157.230.45.178,51801,192.168.1.50,80,6,7,575,83000,65,27,2,2,45
157.230.45.178,51802,192.168.1.50,80,6,7,390,46000,28,27,2,2,8
157.230.45.178,51803,192.168.1.50,80,6,7,580,84000,66,27,2,2,46
157.230.45.178,51804,192.168.1.50,80,6,7,585,85000,67,27,2,2,47
134.209.178.234,53900,192.168.1.50,80,6,7,590,86000,68,27,2,2,48
134.209.178.234,53901,192.168.1.50,80,6,7,385,45000,27,27,2,2,7
134.209.178.234,53902,192.168.1.50,80,6,7,595,87000,69,27,2,2,49
134.209.178.234,53903,192.168.1.50,80,6,7,600,88000,70,27,2,2,50
134.209.178.234,53904,192.168.1.50,80,6,7,380,44000,26,27,2,2,6
95.179.234.123,55000,192.168.1.50,80,6,7,605,89000,71,27,2,2,51
95.179.234.123,55001,192.168.1.50,80,6,7,610,90000,72,27,2,2,52
95.179.234.123,55002,192.168.1.50,80,6,7,375,43000,25,27,2,2,5
95.179.234.123,55003,192.168.1.50,80,6,7,615,91000,73,27,2,2,53
95.179.234.123,55004,192.168.1.50,80,6,7,620,92000,74,27,2,2,54
104.248.89.156,57100,192.168.1.50,80,6,7,625,93000,75,27,2,2,55
104.248.89.156,57101,192.168.1.50,80,6,7,370,42000,24,27,2,2,4
104.248.89.156,57102,192.168.1.50,80,6,7,630,94000,76,27,2,2,56
104.248.89.156,57103,192.168.1.50,80,6,7,635,95000,77,27,2,2,57
104.248.89.156,57104,192.168.1.50,80,6,7,365,41000,23,27,2,2,3
45.142.212.61,54234,192.168.1.200,7777,6,0,0,0,1,2,2,0,1
45.142.212.61,54235,192.168.1.200,8888,6,0,0,0,1,2,2,0,2
45.142.212.61,54236,192.168.1.200,9999,6,0,0,0,1,2,2,0,1
45.142.212.61,54237,192.168.1.200,31337,6,0,0,0,1,2,2,0,3
185.220.101.45,42114,192.168.1.200,53,17,0,0,0,1,0,0,0,2
185.220.101.45,42115,192.168.1.200,111,6,0,0,0,1,2,2,0,4
185.220.101.45,42116,192.168.1.200,161,17,0,0,0,1,0,0,0,3
