IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,PKTS_OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS
192.168.1.100,52341,8.8.8.8,53,17,5,128,128,2,0,0,0,45
192.168.1.100,52342,1.1.1.1,53,17,5,132,132,2,0,0,0,42
192.168.1.100,49823,172.217.14.206,443,6,7,1250,3840,8,27,2,2,1245
192.168.1.100,49824,142.250.185.46,443,6,7,890,2560,6,27,2,2,980
192.168.1.100,49825,172.217.14.206,443,6,7,2340,5120,12,27,2,2,2100
192.168.1.101,52100,8.8.8.8,53,17,5,125,125,2,0,0,0,38
192.168.1.101,50234,172.217.14.206,443,6,7,3200,8960,18,27,2,2,3450
192.168.1.101,50235,142.250.185.46,443,6,7,1890,4560,11,27,2,2,1820
192.168.1.102,51200,8.8.8.8,53,17,5,130,130,2,0,0,0,40
192.168.1.102,48234,172.217.14.206,443,6,7,2100,6240,14,27,2,2,2340
192.168.1.102,48235,142.250.185.46,443,6,7,1560,4120,10,27,2,2,1680
192.168.1.103,52800,8.8.8.8,53,17,5,135,135,2,0,0,0,43
192.168.1.103,49100,172.217.14.206,443,6,7,2800,7680,16,27,2,2,2890
192.168.1.103,49101,142.250.185.46,443,6,7,1780,4890,12,27,2,2,1920
192.168.1.104,53100,1.1.1.1,53,17,5,128,128,2,0,0,0,41
192.168.1.104,47200,172.217.14.206,443,6,7,1950,5340,13,27,2,2,2120
192.168.1.100,49826,172.217.14.206,80,6,7,560,1280,4,27,2,2,680
192.168.1.100,49827,142.250.185.46,80,6,7,720,1640,5,27,2,2,790
192.168.1.101,50236,172.217.14.206,80,6,7,840,2120,6,27,2,2,920
192.168.1.102,48236,142.250.185.46,80,6,7,690,1580,5,27,2,2,750
192.168.1.100,52343,8.8.8.8,53,17,5,129,129,2,0,0,0,44
192.168.1.101,52101,8.8.8.8,53,17,5,127,127,2,0,0,0,39
192.168.1.105,54200,8.8.8.8,53,17,5,131,131,2,0,0,0,42
192.168.1.105,46100,172.217.14.206,443,6,7,2450,6890,15,27,2,2,2560
192.168.1.105,46101,142.250.185.46,443,6,7,1680,4230,11,27,2,2,1790
192.168.1.106,55300,1.1.1.1,53,17,5,133,133,2,0,0,0,46
192.168.1.106,45200,172.217.14.206,443,6,7,3100,8340,17,27,2,2,3280
192.168.1.107,56400,8.8.8.8,53,17,5,126,126,2,0,0,0,37
192.168.1.107,44300,172.217.14.206,443,6,7,1890,5120,13,27,2,2,2010
192.168.1.108,57500,1.1.1.1,53,17,5,134,134,2,0,0,0,48
192.168.1.108,43400,142.250.185.46,443,6,7,2560,7120,16,27,2,2,2670
192.168.1.100,49828,172.217.14.206,443,6,7,1340,3680,9,27,2,2,1450
192.168.1.101,50237,142.250.185.46,443,6,7,2890,7840,18,27,2,2,3120
192.168.1.102,48237,172.217.14.206,443,6,7,1670,4560,12,27,2,2,1820
192.168.1.103,49102,142.250.185.46,443,6,7,2340,6780,15,27,2,2,2480
192.168.1.104,47201,172.217.14.206,443,6,7,1980,5560,14,27,2,2,2150
192.168.1.109,58600,8.8.8.8,53,17,5,132,132,2,0,0,0,45
192.168.1.109,42500,172.217.14.206,443,6,7,2780,7560,17,27,2,2,2890
192.168.1.110,59700,1.1.1.1,53,17,5,128,128,2,0,0,0,41
192.168.1.110,41600,142.250.185.46,443,6,7,1890,5230,13,27,2,2,2020
192.168.1.100,49829,172.217.14.206,80,6,7,680,1780,5,27,2,2,750
192.168.1.101,50238,142.250.185.46,80,6,7,790,2040,6,27,2,2,860
